,MANDT,MBLNR,MJAHR,VGART,BLART,BLAUM,BLDAT,BUDAT,CPUDT,CPUTM,AEDAT,USNAM,TCODE,XBLNR,BKTXT,FRATH,FRBNR,WEVER,XABLN,AWSYS,BLA2D,TCODE2,BFWMS,EXNUM,SPE_BUDAT_UHR,SPE_BUDAT_ZONE,LE_VBELN,SPE_LOGSYS,SPE_MDNUM_EWM,GTS_CUSREF_NO,KNUMV
60,400,4900132912,2021,WR,WA,PR,20210220,20210220,20210220,2903,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
61,400,4900132913,2021,WR,WA,PR,20210220,20210220,20210220,2903,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
62,400,4900132914,2021,WR,WA,PR,20210220,20210220,20210220,2907,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
63,400,4900132915,2021,WR,WA,PR,20210220,20210220,20210220,2909,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
64,400,4900132916,2021,WR,WA,PR,20210220,20210220,20210220,2909,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
65,400,4900132917,2021,WR,WA,PR,20210220,20210220,20210220,2909,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
66,400,4900132918,2021,WR,WA,PR,20210220,20210220,20210220,2914,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
67,400,4900132919,2021,WR,WA,PR,20210220,20210220,20210220,2914,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
68,400,4900132920,2021,WR,WA,PR,20210220,20210220,20210220,2919,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
69,400,4900132921,2021,WR,WA,PR,20210220,20210220,20210220,2920,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
70,400,4900132922,2021,WR,WA,PR,20210220,20210220,20210220,2925,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
71,400,4900132923,2021,WR,WA,PR,20210220,20210220,20210220,2925,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
72,400,4900132924,2021,WR,WA,PR,20210220,20210220,20210220,3016,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
73,400,4900132925,2021,WR,WA,PR,20210220,20210220,20210220,3017,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
74,400,4900132926,2021,WR,WA,PR,20210220,20210220,20210220,3208,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
75,400,4900132927,2021,WR,WA,PR,20210220,20210220,20210220,3210,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
76,400,4900132928,2021,WR,WA,PR,20210220,20210220,20210220,3532,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
77,400,4900132929,2021,WR,WA,PR,20210220,20210220,20210220,3533,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
78,400,4900132930,2021,WR,WA,PR,20210220,20210220,20210220,10446,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
79,400,4900132931,2021,WR,WA,PR,20210220,20210220,20210220,10449,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
80,400,4900132932,2021,WR,WA,PR,20210220,20210220,20210220,10849,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
81,400,4900132933,2021,WR,WA,PR,20210220,20210220,20210220,10852,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
82,400,4900132934,2021,WR,WA,PR,20210220,20210220,20210220,10902,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
83,400,4900132935,2021,WR,WA,PR,20210220,20210220,20210220,10903,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
84,400,4900132936,2021,WR,WA,PR,20210220,20210220,20210220,10923,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
85,400,4900132937,2021,WR,WA,PR,20210220,20210220,20210220,10924,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
86,400,4900132938,2021,WR,WA,PR,20210220,20210220,20210220,11910,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
87,400,4900132939,2021,WR,WA,PR,20210220,20210220,20210220,11912,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
88,400,4900132940,2021,WR,WA,PR,20210220,20210220,20210220,11914,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
89,400,4900132941,2021,WR,WA,PR,20210220,20210220,20210220,11915,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
90,400,4900132942,2021,WR,WA,PR,20210220,20210220,20210220,12200,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
91,400,4900132943,2021,WR,WA,PR,20210220,20210220,20210220,12201,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
92,400,4900132944,2021,WR,WA,PR,20210220,20210220,20210220,12205,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
93,400,4900132945,2021,WR,WA,PR,20210220,20210220,20210220,12206,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
94,400,4900132946,2021,WR,WA,PR,20210220,20210220,20210220,14029,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
95,400,4900132947,2021,WR,WA,PR,20210220,20210220,20210220,14031,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
96,400,4900132948,2021,WR,WA,PR,20210220,20210220,20210220,14234,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
97,400,4900132949,2021,WR,WA,PR,20210220,20210220,20210220,14235,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
98,400,4900132950,2021,WR,WA,PR,20210220,20210220,20210220,14252,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
99,400,4900132951,2021,WR,WA,PR,20210220,20210220,20210220,14252,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
100,400,4900132952,2021,WR,WA,PR,20210220,20210220,20210220,14318,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
101,400,4900132953,2021,WR,WA,PR,20210220,20210220,20210220,14318,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
102,400,4900132954,2021,WR,WA,PR,20210220,20210220,20210220,14417,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
103,400,4900132955,2021,WR,WA,PR,20210220,20210220,20210220,14417,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
104,400,4900132956,2021,WR,WA,PR,20210220,20210220,20210220,14440,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
105,400,4900132957,2021,WR,WA,PR,20210220,20210220,20210220,14440,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
106,400,4900132958,2021,WR,WA,PR,20210220,20210220,20210220,14502,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
107,400,4900132959,2021,WR,WA,PR,20210220,20210220,20210220,14503,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
108,400,4900132960,2021,WR,WA,PR,20210220,20210220,20210220,14535,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
109,400,4900132961,2021,WR,WA,PR,20210220,20210220,20210220,14536,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
110,400,4900132962,2021,WR,WA,PR,20210220,20210220,20210220,14603,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
111,400,4900132963,2021,WR,WA,PR,20210220,20210220,20210220,14604,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
112,400,4900132964,2021,WR,WA,PR,20210220,20210220,20210220,14627,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
113,400,4900132965,2021,WR,WA,PR,20210220,20210220,20210220,14627,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
114,400,4900132966,2021,WR,WA,PR,20210220,20210220,20210220,14705,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
115,400,4900132967,2021,WR,WA,PR,20210220,20210220,20210220,14706,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
116,400,4900132968,2021,WR,WA,PR,20210220,20210220,20210220,14728,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
117,400,4900132969,2021,WR,WA,PR,20210220,20210220,20210220,14729,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
118,400,4900132970,2021,WR,WA,PR,20210220,20210220,20210220,14752,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
119,400,4900132971,2021,WR,WA,PR,20210220,20210220,20210220,14752,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
120,400,4900132972,2021,WR,WA,PR,20210220,20210220,20210220,14824,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
121,400,4900132973,2021,WR,WA,PR,20210220,20210220,20210220,14824,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
122,400,4900132974,2021,WR,WA,PR,20210220,20210220,20210220,14848,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
123,400,4900132975,2021,WR,WA,PR,20210220,20210220,20210220,14848,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
124,400,4900132976,2021,WR,WA,PR,20210220,20210220,20210220,14910,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
125,400,4900132977,2021,WR,WA,PR,20210220,20210220,20210220,14910,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
126,400,4900132978,2021,WR,WA,PR,20210220,20210220,20210220,14943,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
127,400,4900132979,2021,WR,WA,PR,20210220,20210220,20210220,14944,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
128,400,4900132980,2021,WR,WA,PR,20210220,20210220,20210220,14949,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
129,400,4900132981,2021,WR,WA,PR,20210220,20210220,20210220,14949,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
130,400,4900132982,2021,WR,WA,PR,20210220,20210220,20210220,14955,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
131,400,4900132983,2021,WR,WA,PR,20210220,20210220,20210220,14955,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
132,400,4900132984,2021,WR,WA,PR,20210220,20210220,20210220,15013,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
133,400,4900132985,2021,WR,WA,PR,20210220,20210220,20210220,15014,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
134,400,4900132986,2021,WR,WA,PR,20210220,20210220,20210220,15040,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
135,400,4900132987,2021,WR,WA,PR,20210220,20210220,20210220,15040,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
136,400,4900132988,2021,WR,WA,PR,20210220,20210220,20210220,15108,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
137,400,4900132989,2021,WR,WA,PR,20210220,20210220,20210220,15108,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
138,400,4900132990,2021,WR,WA,PR,20210220,20210220,20210220,15131,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
139,400,4900132991,2021,WR,WA,PR,20210220,20210220,20210220,15132,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
140,400,4900132992,2021,WR,WA,PR,20210220,20210220,20210220,15205,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
141,400,4900132993,2021,WR,WA,PR,20210220,20210220,20210220,15206,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
142,400,4900132994,2021,WR,WA,PR,20210220,20210220,20210220,15303,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
143,400,4900132995,2021,WR,WA,PR,20210220,20210220,20210220,15304,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
144,400,4900133051,2021,WR,WA,PR,20210220,20210220,20210220,34939,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
145,400,4900133052,2021,WR,WA,PR,20210220,20210220,20210220,35023,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
146,400,4900133053,2021,WR,WA,PR,20210220,20210220,20210220,35026,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
147,400,4900133054,2021,WR,WA,PR,20210220,20210220,20210220,35126,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
148,400,4900133055,2021,WR,WA,PR,20210220,20210220,20210220,35128,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
149,400,4900133056,2021,WR,WA,PR,20210220,20210220,20210220,40808,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
150,400,4900133057,2021,WR,WA,PR,20210220,20210220,20210220,40809,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
151,400,4900133058,2021,WR,WA,PR,20210220,20210220,20210220,40855,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
152,400,4900133059,2021,WR,WA,PR,20210220,20210220,20210220,40855,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
153,400,4900133060,2021,WR,WA,PR,20210220,20210220,20210220,40947,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
154,400,4900133061,2021,WR,WA,PR,20210220,20210220,20210220,40947,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
155,400,4900133062,2021,WR,WA,PR,20210220,20210220,20210220,41012,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
156,400,4900133063,2021,WR,WA,PR,20210220,20210220,20210220,41013,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
157,400,4900133064,2021,WR,WA,PR,20210220,20210220,20210220,41020,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
